No.,lang1,lang2,cog,,Bats,Chechen,Ingush,Avar,Russian,Kazakh,Tajik,Tsakhur,Gloss,Hurrian,Urartian
1,со,со,1,,со,со,со,дун,я,мен,ман,зы,I (1sg),шу,шу
2,хьо,хьо,1,,хьо,хьо,хьо,мун,ты,сен,ту,гьу,you (2sg),,
3,и,из,1,,иза,и,из,гьав,он,ол,ӯ,мана,"he, she, it (3sg)",,
4,тхо,тхо,1,,ве,тхо,тхо,ниж,мы,біз,мо,ши,we (1pl),,
5,шу,шо,1,,шу,шу,шо,нуж,вы,сендер,шумо,шу,you (2pl),,
6,уьш,уж,1,,о̄би,уьш,уж,гъол,они,олар,онҳо,манбы,they (3pl),,
7,х1ара,ер,1,,вуна̄х,х1ара,ер,гьаб,это,бұл,ин,ман,this,ан,ан
8,дӀора,дӀавар,1,,вух,дӀора,дӀавар,гъоб,то,ол,он,шенке,that,,
9,кхузахь,укхаз,x,,укха̄з,кхузахь,укхаз,гьани,здесь,мұнда,инҷо,инаь,here,,
10,цигахь,цига,1,,,цигахь,цига,гъоба,там,онда,онҷо,,there,,
11,мила,мала,1,,ме,мила,мала,щив,кто,кім,кӣ,вушу,who,,
12,хӀу,фу,x,,вух,хӀу,фу,щиб,что,не,чӣ,гьиджо,what,,
13,мичахь,мича,1,,миче,мичахь,мича,киб,где,қайда,куҷо,ненгене,where,,
14,маца,маца,1,,маца,маца,маца,кида,когда,қашан,кай,мыса,when,,
15,муха,мишта,x,,мохь,муха,мишта,кин,как,қалай,чихел,нягьад,how,,
16,ца,дац,0,,мо,ца,дац,гуро,не,емес,на,деш,not,у,уи
17,массо,деррига,0,,вомаъ,массо,деррига,кинабго,всё,барлық,ҳама,гыргын,all,шуалла,шуини
18,дукха,дукха,1,,дукх,дукха,дукха,гӀемер,многие,көп,бисёр,хетта,many,,
19,масайтта,масайтта,1,,ме̄лъмеъ,масайтта,масайтта,чанго,несколько,бірнеше,ягон,сакьолле,some,,
20,жиммала,къеззига,0,,кІадзакІ,жиммала,къеззига,цодагьаб,немногие,аз,кам,гІылда,few,,
21,кхи,кхаво,x,,,кхи,кхаво,батӀияб,другой,басқа,дигар,бадалин,other,,
22,цхьаъ,цхьаъ,1,,цхька,цхьаъ,цхьаъ,цо,один,бір,як,са,one,шукки,шуси
23,шиъ,шиъ,1,,ши,шиъ,шиъ,кӀиго,два,екі,ду,кьоІд,two,шини,
24,кхоъ,кхоъ,1,,къо,кхоъ,кхоъ,лъабго,три,үш,се,хьебыд,three,киг,шиши
25,диъ,диъ,1,,дІивъ,диъ,диъ,ункъго,четыре,төрт,чор,йокьуд,four,тумни,
26,пхиъ,пхиъ,1,,пхи,пхиъ,пхиъ,щуго,пять,бес,панҷ,хьод,five,нарийа,
27,доккха,сийлахь,0,,даккхо̄,доккха,сийлахь,кӀудияб,большой,үлкен,калон,,big,тала,
28,деха,дIаьха,1,,да̄ххе,деха,дIаьха,халатаб,длинный,ұзын,дароз,хылийн,long,кери,
29,шуьйра,шера,1,,шо̄ри,шуьйра,шера,гӀатӀидаб,широкий,кең,фарох,аІкьыІн,wide,,
30,стомма,сома,x,,дарстІе̄,стомма,сома,бицатаб,толстый,қалың,ғафс,кІыххьин,thick,,
31,деза,деза,1,,дацІӣ,деза,деза,бакӀаб,тяжёлый,ауыр,вазнин,йыкьыІн,heavy,,
32,жима,зIамига,0,,кІацІкІо̄,жима,зIамига,гьитӀинаб,маленький,кіші,хурд,кІылин,small,хайани ,зелди 
